NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=947.194s, table=0, n_packets=29154, n_bytes=1865856, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9017 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=29170, n_bytes=1866880, idle_age=0, priority=100,udp,tp_src=20004,tp_dst=9018 actions=output:2
 cookie=0x0, duration=947.194s, table=0, n_packets=0, n_bytes=0, idle_age=947, priority=100,udp,tp_src=20004,tp_dst=9019 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=29073, n_bytes=1860672, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9000 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=29012, n_bytes=1856768, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9001 actions=output:2
 cookie=0x0, duration=947.194s, table=0, n_packets=29190, n_bytes=1868160, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9002 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=28970, n_bytes=1854080, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9003 actions=output:2
 cookie=0x0, duration=947.194s, table=0, n_packets=29208, n_bytes=1869312, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9004 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=28882, n_bytes=1848448, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9005 actions=output:2
 cookie=0x0, duration=947.194s, table=0, n_packets=29128, n_bytes=1864192, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9006 actions=drop
 cookie=0x0, duration=947.194s, table=0, n_packets=28945, n_bytes=1852480, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9007 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=28643, n_bytes=1833152, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9008 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=29214, n_bytes=1869696, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9009 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=29241, n_bytes=1871424, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9010 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=28724, n_bytes=1838336, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9011 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=29006, n_bytes=1856384, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9012 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=29070, n_bytes=1860480, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9013 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=29175, n_bytes=1867200, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9014 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=29149, n_bytes=1865536, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9015 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=29192, n_bytes=1868288, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9016 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=28763, n_bytes=1840832, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9017 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=28723, n_bytes=1838272, idle_age=0, priority=100,udp,tp_src=20005,tp_dst=9018 actions=drop
 cookie=0x0, duration=947.193s, table=0, n_packets=0, n_bytes=0, idle_age=947, priority=100,udp,tp_src=20005,tp_dst=9019 actions=output:2
 cookie=0x0, duration=947.193s, table=0, n_packets=28950, n_bytes=1852800, idle_age=0, priority=100,udp,tp_src=20006,tp_dst=9000 actions=output:2
